Search Query|Norm Query|Miner|Miner args|Query|Shard Kind
10xl|10xl|elasticsearch|--max-product=35000 --query="10xl"|preset=19611224|presets/bucket_32
5 карманов шорты|карман пять subj_шорты|elasticsearch|--max-product=35000 --query="5 карманов шорты"|preset=19204380|presets/bucket_32
7xl|7xl|elasticsearch|--query="7xl"|preset=10200213|presets/bucket_32
8xl футболки|8xl subj_футболка|elasticsearch|--context-subject="футболка" --max-product=15000 --query="8xl футболки" --context-subject-filter=true|preset=19590588|presets/bucket_32
alla buone трусы стринги|alla buone subj_стринги|elasticsearch|--context-brand="alla buone" --context-subject="трусы" --max-product=35000 --query="alla buone трусы стринги" --context-subject-filter=true|preset=10712828|presets/bucket_32
benetton трусы|benetton subj_трусы|elasticsearch|--context-subject="трусы" --query="benetton трусы" --context-subject-filter=true|preset=10190991|presets/bucket_32
caimano комбинезон|caimano subj_комбинезон|elasticsearch|--context-subject="комбинезон" --query="caimano комбинезон" --context-subject-filter=true|preset=10201245|presets/bucket_32
calvin klein шорты|calvin klein subj_шорты|elasticsearch|--context-brand="calvin klein" --context-subject="шорты" --query="calvin klein шорты" --context-subject-filter=true|preset=10085075|presets/bucket_32
colambetta брюки|colambetta subj_брюки|elasticsearch|--context-brand="colambetta" --context-subject="брюки" --query="colambetta брюки"|preset=10053829|presets/bucket_32
crockid для девочек комбинезон весна|crockid subj_весна для_девочка subj_комбинезон|elasticsearch|--context-brand="crockid" --context-subject="комбинезон" --max-product=35000 --query="crockid для девочек комбинезон весна" --context-subject-filter=true|preset=19157626|presets/bucket_32
crockid комплект|crockid subj_комплект|elasticsearch|--query="комплект крокид" --context-subject="комплекты белья"|preset=10195942|presets/bucket_32
crockid слип|crockid subj_слип|elasticsearch|--context-brand="crockid" --max-product=35000 --query="crockid слип"|preset=19633353|presets/bucket_32
fitmax|fitmax|elasticsearch|--query="fitmax" --max-product=35000|preset=200006324|presets/bucket_32
gloria jeans женская одежда комбинезон|gloria jeans для_женщина subj_комбинезон subj_одежда|elasticsearch|--max-product=35000 --query="gloria jeans женская одежда комбинезон" --context-brand="gloria jeans"|preset=19148421|presets/bucket_32
gloria jeans комбинезон женский|gloria jeans для_женщина subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="gloria jeans комбинезон женский" --context-brand="gloria jeans" --context-subject-filter=true|preset=19123982|presets/bucket_32
happy fox трусы|fox happy subj_трусы|elasticsearch|--context-subject="трусы" --max-product=35000 --query="happy fox трусы" --context-subject-filter=true|preset=19268852|presets/bucket_32
lassie 110 комбинезон|110 lassie subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="lassie 110 комбинезон" --context-subject-filter=true|preset=19152361|presets/bucket_32
lassie демисезонный комплект|lassie демисезонный subj_комплект|elasticsearch|--context-subject="костюм" --max-product=35000 --query="lassie демисезонный комплект"|preset=18898230|presets/bucket_32
lassie для девочки комбинезон весна|lassie subj_весна для_девочка subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="lassie для девочки комбинезон весна" --context-subject-filter=true|preset=19153318|presets/bucket_32
lassie для мальчика комплект|lassie для_мальчик subj_комплект|elasticsearch|--context-subject="костюм" --query="lassie для мальчика комплект" --context-subject-filter=true|preset=10089135&kind=3;6|presets/bucket_32
lassie комбинезон 116|116 lassie subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="lassie комбинезон 116" --context-subject-filter=true|preset=19143627|presets/bucket_32
lassie комбинезон 122|122 lassie subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="lassie комбинезон 122" --context-subject-filter=true|preset=19142718|presets/bucket_32
lassie комбинезон 86|86 lassie subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="lassie комбинезон 86" --context-subject-filter=true|preset=19152523|presets/bucket_32
lassie комбинезон весна|lassie subj_весна subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="lassie комбинезон весна" --context-subject-filter=true|preset=10781639|presets/bucket_32
lassie комбинезон зимний 128|128 lassie для_зима subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="lassie комбинезон зимний 128" --context-subject-filter=true|preset=19157074|presets/bucket_32
lassie комбинезон осень|lassie subj_комбинезон subj_осень|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="lassie комбинезон осень" --context-subject-filter=true|preset=19152207|presets/bucket_32
lassie комплект|lassie subj_комплект|elasticsearch|--context-subject="костюм" --query="lassie комплект" --max-product=35000 --context-subject-filter=true|preset=200003530|presets/bucket_32
lassie комплект весна|lassie subj_весна subj_комплект|elasticsearch|--context-subject="костюм" --max-product=35000 --query="lassie комплект весна"|preset=10750498|presets/bucket_32
lassie комплект осень|lassie subj_комплект subj_осень|elasticsearch|--context-subject="костюм" --max-product=35000 --query="lassie комплект осень"|preset=19729559|presets/bucket_32
